"sector";"n/a";"key";value
"Norte";"n/a";"Arica y Parinacota";22447
"Norte";"n/a";"Tarapaca";26123
"Norte";"n/a";"Antofagasta";33270
"Norte";"n/a";"Atacama";26622
"Norte";"n/a";"Coquimbo";56124
"Centro";"n/a";"Vaparaiso";99316
"Centro";"n/a";"Metropolitana de Santiago";415920
"Centro";"n/a";"O-'Higgins";67272
"Centro";"n/a";"Maule";88732
"Centro";"n/a";"Biobio";168634
"Sur";"n/a";"La Araucania";93190
"Sur";"n/a";"Los Rios";34277
"Sur";"n/a";"Los Lagos";75579
"Sur";"n/a";"Aysen";9467
"Sur";"n/a";"Magallanes";8322
